Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Cruze I,141,Бензин,450000,2012,195000,автомат,седан,передний,серый
Chevrolet,Lacetti,109,Бензин,350000,2008,49500,механика,седан,передний,синий
Chevrolet,TrailBlazer I Рестайлинг,273,Бензин,360000,2006,170000,автомат,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I,141,Бензин,485000,2012,104000,автомат,седан,передний,красный
Chevrolet,Cruze I,141,Бензин,320000,2011,246300,механика,седан,передний,серый
Chevrolet,Cavalier III,117,Бензин,95000,2000,190000,автомат,купе,передний,красный
Chevrolet,Lanos I,86,Бензин,123000,2007,161000,механика,седан,передний,пурпурный
Chevrolet,Epica I Рестайлинг,143,Бензин,449000,2011,110500,автомат,седан,передний,серый
Chevrolet,Captiva I Рестайлинг,167,Бензин,720000,2012,107200,механика,внедорожник 5 дв.,полный,белый
Chevrolet,Orlando I,141,Бензин,600000,2014,243000,автомат,компактвэн,передний,белый
Chevrolet,Aveo I Рестайлинг,84,Бензин,280000,2011,37780,механика,седан,передний,чёрный
Chevrolet,Niva I,80,Бензин,400000,2008,140000,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I,109,Бензин,450000,2011,88060,механика,седан,передний,бежевый
Chevrolet,Lacetti,109,Бензин,280000,2007,155000,механика,седан,передний,бежевый
Chevrolet,Lacetti,94,Бензин,210000,2011,210000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Niva I,80,Бензин,165000,2004,110000,механика,внедорожник 5 дв.,полный,золотистый
Chevrolet,Aveo II,115,Бензин,320000,2013,129800,механика,седан,передний,серый
Chevrolet,Cruze I Рестайлинг,109,Бензин,399900,2014,120500,автомат,хэтчбек 5 дв.,передний,красный
Chevrolet,Cruze I,109,Бензин,340000,2012,322000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Suburban X,304,Бензин,800000,2000,378000,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Spark II,52,Бензин,165000,2007,97000,автомат,хэтчбек 5 дв.,передний,зелёный
Chevrolet,Niva I,80,Бензин,200000,2006,60000,механика,внедорожник 5 дв.,полный,бежевый
